      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:18:50   755      0   00:18:56   629      0
 24   03:34:06  1357      0   03:34:39  1263      0
 23   03:04:04  2768      0   06:00:05  2283      0
 22   00:06:06   119      0   02:15:05  1341      0
 21   00:16:16  1604      0   00:40:54   729      0
 20   00:55:58  1941      0   00:57:54  1743      0
 19   01:47:03   669      0   01:49:25   557      0
 18   04:16:44  3331      0   04:20:21  3196      0
 17   00:13:43   416      0   00:17:23   299      0
 16   01:55:44  3935      0   02:11:35  3418      0
 15   00:08:21   284      0   00:39:30  1096      0
 14   00:07:43   418      0   00:38:53  1486      0
 13   00:30:46  3366      0   00:31:26  2212      0
 12   00:20:28  1614      0   00:39:45  1970      0
 11   00:17:03   907      0   00:19:39   876      0
 10   00:09:25  1362      0   00:21:50  2117      0
  9   00:06:35   628      0   00:45:58  3590      0
  8   00:07:54  1054      0   00:27:10   313      0
  7   00:03:51   782      0   00:15:34  3726      0
  6   00:11:25  3745      0   00:11:43   710      0
  5   00:07:59   371      0   00:19:22   883      0
  4   00:18:37  1062      0   00:23:16   893      0
  3   00:04:47   447      0   00:24:15  1541      0
  2   00:02:55   909      0   00:04:44   728      0
  1   00:01:39   387      0   00:11:21  2863      0
