      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   01:21:41  3012      0   01:21:44  2384      0
 24   01:08:07  1244      0   01:12:49  1077      0
 23   00:39:10   750      0   00:40:51   614      0
 22   00:50:02  1143      0   03:24:35  1363      0
 21   00:08:43   584      0   00:36:53   883      0
 20   00:42:24  1054      0   01:43:43  2167      0
 19   01:46:56  1037      0   02:28:08  1022      0
 18   00:05:54   588      0   00:26:12   740      0
 17   00:31:00   229      0   06:06:31  3306      0
 16   01:13:39   885      0   02:39:00   865      0
 15   00:09:29    62     39   00:53:03   916      0
 14   00:23:20  1027      0   00:25:53   760      0
 13   00:38:47  2666      0   00:51:06  2656      0
 12   00:09:28   188      0   00:17:40   528      0
 11   00:33:34  2273      0   00:43:30  1501      0
 10   00:11:06  1326      0   00:33:08  2708      0
  9   00:14:20   883      0   00:21:56   580      0
  8   00:15:23  1992      0   00:26:10  1625      0
  7   00:35:54  2828      0   00:39:33  2212      0
  6   00:04:22  1516      0   00:06:09  1906      0
  5   00:08:41   297      0   00:10:39   297      0
  4   00:12:31  5962      0   00:16:29  5368      0
  3   00:07:32  1555      0   00:10:31   945      0
  2   00:06:26   963      0   00:11:48  1317      0
  1   00:02:28   732      0   00:03:22   483      0
